,Row ID,System Name,Host Name,Number of Planets,Stellar Parameter Reference,Stellar Effective Temperature [K],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio
1,759,EPIC 201427007,EPIC 201427007,1,TICv8,5382.730±123.538,0.93,0.3139080±0.0146211,[M/H]
1,764,EPIC 201497682,EPIC 201497682,1,TICv8,4670.3500±99.6882,0.74,-0.08922190±0.01345770,[M/H]
1,769,EPIC 201595106,EPIC 201595106,2,TICv8,5711.1700+129.0870-85.2871,1.018000+0.135649-0.116947,0.018±0.034,[M/H]
1,869,EPIC 220492298,EPIC 220492298,1,TICv8,5443.04±105.53,0.95,0.470±0.102,[M/H]
1,900,EPIC 248847494,EPIC 248847494,1,TICv8,4962.41±21.70,  ,-0.289±0.020,[M/H]
1,902,EPIC 249893012,EPIC 249893012,3,TICv8,5230.800+123.076-111.824,0.8920000+0.1052360-0.1084410,0.050±0.100,[M/H]
1,980,GJ 143,GJ 143,2,TICv8,4628.530+106.954-193.953,0.7300000+0.0877656-0.0877931,0.00265490±0.05268040,[M/H]
1,994,GJ 15,LHS 4,2,TICv8,3259.0±157.0,0.164568±0.020081,-0.3745320±0.0130076,[M/H]
1,1031,GJ 2030,GJ 2030,2,TICv8,5485.0000+103.8950-94.4001,0.9600000+0.1423910-0.1067980,-0.4±0.1,[M/H]
1,1093,GJ 3021,GJ 3021,1,TICv8,5519.040+196.918-102.000,0.9700000+0.1417150-0.1081620,0.1046180±0.0148272,[M/H]
1,1110,GJ 317,GJ 317,2,TICv8,3347.0±157.0,0.4211600±0.0202602,-0.5537760±0.0814516,[M/H]
1,1359,GJ 504,GJ 504,1,TICv8,6029.190+140.041-155.493,1.120000+0.169108-0.134339,0.2098520±0.0141715,[M/H]
1,1442,GJ 667,HIP 84709,5,TICv8,4819.0±110.0,  ,-0.43±0.12,[M/H]
1,1486,GJ 687,GJ 687,2,TICv8,  ,0.3985610±0.0202864,0.15±0.09,[M/H]
1,1558,GJ 86,GJ 86,1,TICv8,5188.500+139.705-139.892,0.8800000+0.1490620-0.0809223,-0.2341810±0.0169035,[M/H]
1,1578,GJ 887,GJ 887,2,TICv8,3676.320+167.907-119.858,0.5400000+0.1084300-0.0777627,-0.22±0.09,[M/H]
1,1650,GU Psc,GU Psc,1,TICv8,3420.0±157.0,0.4470430±0.0201842,-0.25±0.19,[M/H]
1,1659,Gaia-4,Gaia-4,1,TICv8,4259.140+125.675-153.414,0.6700000+0.1057410-0.0581035,0.1074870±0.0128153,[M/H]
1,1716,Gl 725,Gl 725 B,1,TICv8,  ,0.2526250±0.0202044,-0.92±0.07,[M/H]
1,1724,HAT-P-1,ADS 16402 A,1,TICv8,6251.000+110.576-115.281,1.214000+0.225703-0.140300,0.146±0.014,[M/H]
1,1732,HAT-P-1,HAT-P-1,1,TICv8,6051.1800+127.3880-85.6817,1.126000+0.187583-0.112588,0.1578400±0.0068169,[M/H]
1,1755,HAT-P-11,HAT-P-11,2,TICv8,4777.560+118.373-107.360,0.7700000+0.0998038-0.0757801,0.2996460±0.0526804,[M/H]
1,1772,HAT-P-12,HAT-P-12,1,TICv8,4652.8700+96.9648-134.8430,0.7400000+0.0817889-0.0844251,-0.0631697±0.0150349,[M/H]
1,1780,HAT-P-13,HAT-P-13,2,TICv8,5720.00+101.21-137.27,1.0200000+0.1667890-0.0926911,0.46±0.07,[M/H]
1,1792,HAT-P-14,HAT-P-14,1,TICv8,6727.6100+149.3740-98.0938,1.433000+0.321377-0.175339,0.1266370±0.0526804,[M/H]
1,1806,HAT-P-15,HAT-P-15,1,TICv8,5663.5500+88.9753-108.3520,1.006000+0.137151-0.102811,0.2836990±0.0280899,[M/H]
1,1809,HAT-P-16,HAT-P-16,1,TICv8,6140.0000+98.3193-153.0790,1.164000+0.182313-0.138006,0.12±0.08,[M/H]
